Site,Opportunity Type,Priority,URL,Full URL
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/allergan.html","https://abbvie.com/allergan.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/contactus.html","https://abbvie.com/contactus.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/join-us.html","https://abbvie.com/join-us.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/accessibility-statement.html","https://abbvie.com/accessibility-statement.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/join-us/opportunities/research-and-development.html","https://abbvie.com/join-us/opportunities/research-and-development.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/cerevel.html","https://abbvie.com/cerevel.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/patients/patient-support/patient-assistance.html","https://abbvie.com/patients/patient-support/patient-assistance.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/patients/patient-support.html","https://abbvie.com/patients/patient-support.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/who-we-are.html","https://abbvie.com/who-we-are.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/patients.html","https://abbvie.com/patients.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/science/areas-of-focus.html","https://abbvie.com/science/areas-of-focus.html"
"abbvie.com","Core Web Vitals Issues","High","abbvie.com/","https://abbvie.com/"
"adobe.com","Broken Backlinks","High","google.com/url?q=http://www.adobe.com/go/certifieddevices&usg=AFQjCNGAJkoqpNkBCGQJ67w2G6Bnl8eaDQ","https://google.com/url?q=http://www.adobe.com/go/certifieddevices&usg=AFQjCNGAJkoqpNkBCGQJ67w2G6Bnl8eaDQ"
"adobe.com","Core Web Vitals Issues","High","adobe.com/mx/genuine/ic-ng-3d-ccs-cx-nc.html","https://adobe.com/mx/genuine/ic-ng-3d-ccs-cx-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/be_fr/genuine/dm-ses-lp.html","https://adobe.com/be_fr/genuine/dm-ses-lp.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/uk/genuine/endofsupport-gc-gen-cxsup-ar-cx1-nc.html","https://adobe.com/uk/genuine/endofsupport-gc-gen-cxsup-ar-cx1-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/ec/genuine/ic-ses-cx6-nc.html","https://adobe.com/ec/genuine/ic-ses-cx6-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/jp/creativecloud/roc/specialoffer/paypay.html","https://adobe.com/jp/creativecloud/roc/specialoffer/paypay.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/mx/genuine/ic-ng-3d-ccs-cx1-nc.html","https://adobe.com/mx/genuine/ic-ng-3d-ccs-cx1-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/pt/genuine/ooc-dm-twp-cx1-nc.html","https://adobe.com/pt/genuine/ooc-dm-twp-cx1-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/ph_fil/genuine/ooc-dm-twp-cx2-nc.html","https://adobe.com/ph_fil/genuine/ooc-dm-twp-cx2-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/br/genuine/ic-ng-3d-ccs-cx-nc.html","https://adobe.com/br/genuine/ic-ng-3d-ccs-cx-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/nl/genuine/ooc-gcbo-ses-cx1-nc.html","https://adobe.com/nl/genuine/ooc-gcbo-ses-cx1-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/jp/genuine/ic-ses-cx6-nc.html","https://adobe.com/jp/genuine/ic-ses-cx6-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/kr/express/","https://adobe.com/kr/express/"
"adobe.com","Core Web Vitals Issues","High","adobe.com/jp/products/coldfusion-builder.html","https://adobe.com/jp/products/coldfusion-builder.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/id_en/acrobat/online/compress-pdf.html","https://adobe.com/id_en/acrobat/online/compress-pdf.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/pe/genuine/dm-ng-dnr-lp.html","https://adobe.com/pe/genuine/dm-ng-dnr-lp.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/genuine/ic-ng-3d-ccs-cx1-nc.html","https://adobe.com/genuine/ic-ng-3d-ccs-cx1-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/sg/genuine/ic-ses-lp.html","https://adobe.com/sg/genuine/ic-ses-lp.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/sg/genuine/gcbo-ses-cx6-nc.html","https://adobe.com/sg/genuine/gcbo-ses-cx6-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/th_th/genuine/ic-ng-3d-ccs-lp/shop.html","https://adobe.com/th_th/genuine/ic-ng-3d-ccs-lp/shop.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/id_en/genuine/dm-ng-dnr-lp.html","https://adobe.com/id_en/genuine/dm-ng-dnr-lp.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/mena_ar/genuine/dm-twp-cx1-nc.html","https://adobe.com/mena_ar/genuine/dm-twp-cx1-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/id_id/genuine/gcbo-ses-cx6-nc.html","https://adobe.com/id_id/genuine/gcbo-ses-cx6-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/tr/genuine/ic-ses-lp/shop.html","https://adobe.com/tr/genuine/ic-ses-lp/shop.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/my_ms/genuine/gcbo-ses-cx6-nc.html","https://adobe.com/my_ms/genuine/gcbo-ses-cx6-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/kr/genuine/ooc-dm-ses-cx2-nc.html","https://adobe.com/kr/genuine/ooc-dm-ses-cx2-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/in_hi/genuine/ooc-dm-ng-dnr-cx5-nc.html","https://adobe.com/in_hi/genuine/ooc-dm-ng-dnr-cx5-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/kr/creativecloud/video.html","https://adobe.com/kr/creativecloud/video.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/fr/creativecloud/photography.html","https://adobe.com/fr/creativecloud/photography.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/id_id/genuine/ooc-dm-twp-cx2-nc.html","https://adobe.com/id_id/genuine/ooc-dm-twp-cx2-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/express/feature/image/combine","https://adobe.com/express/feature/image/combine"
"adobe.com","Core Web Vitals Issues","High","adobe.com/solutions/ebook/digital-editions.html","https://adobe.com/solutions/ebook/digital-editions.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/de/acrobat/generative-ai-pdf.html","https://adobe.com/de/acrobat/generative-ai-pdf.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/tr/genuine/ic-ng-3d-ccs-cx1-nc.html","https://adobe.com/tr/genuine/ic-ng-3d-ccs-cx1-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/th_th/genuine/ooc-dm-ng-dnr-cx1-nc.html","https://adobe.com/th_th/genuine/ooc-dm-ng-dnr-cx1-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/in/express/discover/wishes/birthday/girlfriend","https://adobe.com/in/express/discover/wishes/birthday/girlfriend"
"adobe.com","Core Web Vitals Issues","High","adobe.com/it/genuine/ooc-dm-ng-dnr-cx1-nc.html","https://adobe.com/it/genuine/ooc-dm-ng-dnr-cx1-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/creativecloud/business/teams/resources/events-webinars/craft-playful-experiences-to-engage-and-delight.html","https://adobe.com/creativecloud/business/teams/resources/events-webinars/craft-playful-experiences-to-engage-and-delight.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/de/privacy.html","https://adobe.com/de/privacy.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/nl/genuine/ic-ng-tcs-ccs-cx6-nc.html","https://adobe.com/nl/genuine/ic-ng-tcs-ccs-cx6-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/downloads/illustrator.html","https://adobe.com/downloads/illustrator.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/fr/genuine/ooc-dm-twp-cx4-nc.html","https://adobe.com/fr/genuine/ooc-dm-twp-cx4-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/ch_de/genuine/ooc-gcbo-ses-cx6-nc.html","https://adobe.com/ch_de/genuine/ooc-gcbo-ses-cx6-nc.html"
"adobe.com","Core Web Vitals Issues","High","adobe.com/kr/legal/licenses-terms/adobe-gen-ai-user-guidelines.html","https://adobe.com/kr/legal/licenses-terms/adobe-gen-ai-user-guidelines.html"
